"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,Date
Dominican Republic,576129.0,126.0,4371.0,,570784.0,531.0,974.0,30.0,52229.0,396.0,3152115.0,285753.0,11030908.0,North America,2022-03-08
Bahrain,530730.0,1896.0,1461.0,2.0,511434.0,2640.0,17835.0,11.0,294697.0,811.0,9469207.0,5257948.0,1800932.0,Asia,2022-03-08
Hong Kong,525242.0,28475.0,2578.0,291.0,13232.0,,509432.0,69.0,69117.0,339.0,36260319.0,4771530.0,7599306.0,Asia,2022-03-08
Estonia,520405.0,3303.0,2308.0,9.0,412293.0,5239.0,105804.0,21.0,391861.0,1738.0,3149809.0,2371780.0,1328036.0,Europe,2022-03-08
Venezuela,517164.0,198.0,5652.0,2.0,507834.0,540.0,3678.0,230.0,18274.0,200.0,3359014.0,118692.0,28300375.0,South America,2022-03-08
Moldova,505996.0,352.0,11298.0,5.0,485303.0,660.0,9395.0,62.0,125926.0,2812.0,3066970.0,763272.0,4018188.0,Europe,2022-03-08
Libya,498839.0,386.0,6314.0,6.0,478443.0,1724.0,14082.0,127.0,70974.0,898.0,2444337.0,347778.0,7028448.0,Africa,2022-03-08
Egypt,492774.0,882.0,24244.0,22.0,423135.0,912.0,45395.0,122.0,4667.0,230.0,3693367.0,34982.0,105579806.0,Africa,2022-03-08
Ethiopia,469047.0,40.0,7477.0,1.0,420437.0,6.0,41133.0,64.0,3917.0,62.0,4544740.0,37952.0,119750048.0,Africa,2022-03-08
Mongolia,466142.0,189.0,2176.0,,313256.0,,150710.0,192.0,138441.0,646.0,4030048.0,1196900.0,3367073.0,Asia,2022-03-08
Armenia,421541.0,140.0,8552.0,4.0,407082.0,512.0,5907.0,,141811.0,2877.0,2921750.0,982906.0,2972562.0,Asia,2022-03-08
Honduras,414714.0,1015.0,10812.0,27.0,129792.0,1384.0,274110.0,105.0,40780.0,1063.0,1263329.0,124227.0,10169530.0,North America,2022-03-08
Oman,385513.0,360.0,4249.0,,376019.0,516.0,5245.0,32.0,72398.0,798.0,25000000.0,4694910.0,5324916.0,Asia,2022-03-08
Bosnia and Herzegovina,372645.0,167.0,15590.0,15.0,192218.0,,164837.0,,114784.0,4802.0,1711182.0,527088.0,3246483.0,Europe,2022-03-08
Qatar,358564.0,146.0,671.0,1.0,355957.0,316.0,1936.0,,127703.0,239.0,3387102.0,1206317.0,2807805.0,Asia,2022-03-08
Cyprus,338517.0,3695.0,883.0,5.0,124370.0,,213264.0,60.0,276986.0,722.0,9477138.0,7754506.0,1222146.0,Asia,2022-03-08
Kenya,323115.0,21.0,5641.0,,317229.0,48.0,245.0,1.0,5794.0,101.0,3412690.0,61200.0,55762472.0,Africa,2022-03-08
Zambia,314159.0,249.0,3959.0,,308784.0,108.0,1416.0,4.0,16321.0,206.0,3295300.0,171192.0,19249179.0,Africa,2022-03-08
Réunion,310181.0,8019.0,680.0,14.0,298082.0,9013.0,11419.0,41.0,342340.0,751.0,1498366.0,1653714.0,906061.0,Africa,2022-03-08
North Macedonia,300106.0,340.0,9097.0,11.0,288761.0,526.0,2248.0,,144058.0,4367.0,1904444.0,914178.0,2083230.0,Europe,2022-03-08
Albania,272337.0,87.0,3483.0,,267672.0,212.0,1182.0,13.0,94808.0,1213.0,1754760.0,610880.0,2872510.0,Europe,2022-03-08
Algeria,265323.0,26.0,6858.0,1.0,177926.0,28.0,80539.0,11.0,5872.0,152.0,230861.0,5110.0,45182541.0,Africa,2022-03-08
New Zealand,264255.0,23936.0,65.0,,71611.0,23965.0,192579.0,,52829.0,13.0,6816637.0,1362755.0,5002100.0,Australia/Oceania,2022-03-08
Botswana,263950.0,,2619.0,,259434.0,,1897.0,1.0,108556.0,1077.0,2026898.0,833614.0,2431459.0,Africa,2022-03-08
Nigeria,254777.0,118.0,3142.0,,249209.0,3.0,2426.0,11.0,1187.0,15.0,4519905.0,21050.0,214727309.0,Africa,2022-03-08
Zimbabwe,240343.0,633.0,5400.0,1.0,229664.0,481.0,5279.0,12.0,15784.0,355.0,2113618.0,138809.0,15226816.0,Africa,2022-03-08
Uzbekistan,236994.0,27.0,1637.0,,234197.0,84.0,1160.0,23.0,6912.0,48.0,1377915.0,40190.0,34285010.0,Asia,2022-03-08
Montenegro,231115.0,104.0,2689.0,3.0,227475.0,156.0,951.0,60.0,367900.0,4280.0,1181494.0,1880761.0,628200.0,Europe,2022-03-08
Mozambique,225150.0,10.0,2197.0,1.0,221495.0,1598.0,1458.0,13.0,6880.0,67.0,1278902.0,39078.0,32727007.0,Africa,2022-03-08
Kyrgyzstan,200658.0,17.0,2968.0,2.0,195713.0,28.0,1977.0,131.0,29926.0,443.0,1907195.0,284435.0,6705210.0,Asia,2022-03-08
Luxembourg,188748.0,777.0,999.0,,177378.0,17.0,10371.0,5.0,293495.0,1553.0,4089468.0,6358943.0,643105.0,Europe,2022-03-08
